filament_id,lat_centroid,lon_centroid,dec_time,date,product_id,datetime,mgrs_tile
10860,34.63421665211974,10.73287512843886,2018.7956713280064,2018-10-18,S2B_MSIL1C_20181018T100029_N0500_R122_T32SPD_20230815T094027.SAFE,2018-10-18T10:11:08.747Z,Unknown
10861,34.39977635396246,10.397341123639446,2018.7956713280064,2018-10-18,S2B_MSIL1C_20181018T100029_N0500_R122_T32SPD_20230815T094027.SAFE,2018-10-18T10:11:08.747Z,Unknown
10862,34.3186202276166,10.315256245040995,2018.7956713280064,2018-10-18,S2B_MSIL1C_20181018T100029_N0500_R122_T32SPC_20230815T094027.SAFE,2018-10-18T10:11:23.26Z,Unknown
10863,34.29993203786468,10.193223013849211,2018.7956713280064,2018-10-18,S2B_MSIL1C_20181018T100029_N0500_R122_T32SNC_20230815T094027.SAFE,2018-10-18T10:11:26.427Z,Unknown
10864,34.289343578431804,10.255844946815367,2018.7956713280064,2018-10-18,S2B_MSIL1C_20181018T100029_N0500_R122_T32SPC_20230815T094027.SAFE,2018-10-18T10:11:23.26Z,Unknown
10865,34.28298996404134,10.238980602609574,2018.7956713280064,2018-10-18,S2B_MSIL1C_20181018T100029_N0500_R122_T32SPC_20230815T094027.SAFE,2018-10-18T10:11:23.26Z,Unknown
10866,34.26641341840648,10.136480446782892,2018.7956713280064,2018-10-18,S2B_MSIL1C_20181018T100029_N0500_R122_T32SNC_20230815T094027.SAFE,2018-10-18T10:11:26.427Z,Unknown
10867,35.12070873615653,11.136456071255353,2018.850865582192,2018-11-07,S2B_MSIL1C_20181107T100219_N0500_R122_T32SPD_20230728T044356.SAFE,2018-11-07T10:11:09.453Z,Unknown
10868,34.972544717771704,11.253412123782812,2018.850865582192,2018-11-07,S2B_MSIL1C_20181107T100219_N0500_R122_T32SPD_20230728T044356.SAFE,2018-11-07T10:11:09.453Z,Unknown
10869,34.761943471555846,10.920154849681374,2018.850865582192,2018-11-07,S2B_MSIL1C_20181107T100219_N0500_R122_T32SPD_20230728T044356.SAFE,2018-11-07T10:11:09.453Z,Unknown
10870,34.63651046657,10.69164807571721,2018.850865582192,2018-11-07,S2B_MSIL1C_20181107T100219_N0500_R122_T32SPD_20230728T044356.SAFE,2018-11-07T10:11:09.453Z,Unknown
10871,34.612652101551866,11.228199474993012,2018.850865582192,2018-11-07,S2B_MSIL1C_20181107T100219_N0500_R122_T32SPD_20230728T044356.SAFE,2018-11-07T10:11:09.453Z,Unknown
10872,34.609164610785314,11.112776475803628,2018.850865582192,2018-11-07,S2B_MSIL1C_20181107T100219_N0500_R122_T32SPD_20230728T044356.SAFE,2018-11-07T10:11:09.453Z,Unknown
10873,34.54544970965337,10.973973472340456,2018.850865582192,2018-11-07,S2B_MSIL1C_20181107T100219_N0500_R122_T32SPD_20230728T044356.SAFE,2018-11-07T10:11:09.453Z,Unknown
10874,34.50879915785725,10.931776145929224,2018.850865582192,2018-11-07,S2B_MSIL1C_20181107T100219_N0500_R122_T32SPD_20230728T044356.SAFE,2018-11-07T10:11:09.453Z,Unknown
10875,34.45319985650965,10.536065194620404,2018.850865582192,2018-11-07,S2B_MSIL1C_20181107T100219_N0500_R122_T32SPD_20230728T044356.SAFE,2018-11-07T10:11:09.453Z,Unknown
